symbol,effective_date,split_ratio,current_float_m,status
ASPS,2025-05-28,8,9.32,Complete
LYRA,2025-05-28,50,1.76,Complete
KG,2025-05-28,20,5.71,Complete
FRGT,2025-05-27,4,5.90,Complete
APVO,2025-05-27,20,16.85,Complete
PLRZ,2025-05-27,250,0.98,Complete
WHLR,2025-05-27,7,0.69,Complete
QVCGA,2025-05-23,50,6.37,Complete
DGLY,2025-05-23,100,1.90,Complete
AIFU,2025-05-21,20,1.89,Complete
UOKA,2025-05-20,25,0.66,Complete
CDT,2025-05-20,15,1.60,Complete
CVM,2025-05-20,30,7.91,Complete
SQFT,2025-05-19,10,1.23,Complete
BON,2025-05-19,25,6.09,Complete
CNEY,2025-05-19,25,1.01,Complete
RNAZ,2025-05-15,28,0.92,Complete
MLEC,2025-05-14,10,7.76,Complete
XAGE,2025-05-14,30,1.62,Complete
CDIO,2025-05-13,13,1.53,Complete
BGMS,2025-05-12,16,3.79,Complete
ALZN,2025-05-12,9,3.62,Complete
STI,2025-05-12,50,2.26,Complete
XHG,2025-05-09,20,1.57,Complete
HIND,2025-05-09,25,4.60,Complete
GDHG,2025-05-09,25,2.53,Complete
DGLY,2025-05-07,20,1.90,Complete
YCBD,2025-05-07,8,8.90,Complete
SBET,2025-05-06,12,196.66,Complete
PTIX,2025-05-05,14,1.86,Complete
NIVF,2025-05-05,10,6.58,Complete
WAI,2025-05-05,25,2.69,Complete
SLGL,2025-05-05,10,0.97,Complete
PBM,2025-05-05,7.97,1.86,Complete
CWD,2025-05-02,20,5.38,Complete
HSDT,2025-05-02,15,73.74,Complete
LITM,2025-05-02,13,18.03,Complete
IQST,2025-05-02,80,4.21,Complete
PTPI,2025-05-01,25,42.32,Complete
FOXO,2025-04-29,10,526.45,Complete
JBIO,2025-04-29,35,14.12,Complete
NAAS,2025-04-28,4,0.99,Complete
STKH,2025-04-28,5,0.84,Complete
XFOR,2025-04-28,30,87.38,Complete
STSS,2025-04-28,300,5.56,Complete
DFSC,2025-04-24,21,1.42,Complete
BSLK,2025-04-22,20,4.22,Complete
FMTO,2025-04-22,500,0.60,Complete
MCRB,2025-04-22,20,7.88,Complete
DDC,2025-04-21,25,7.70,Complete
HOLO,2025-04-21,40,14.57,Complete
YHC,2025-04-21,35,13.42,Complete
BMRA,2025-04-21,8,2.72,Complete
SUNE,2025-04-21,200,3.41,Complete
KZIA,2025-04-17,5,1.83,Complete
TVRD,2025-04-16,3,3.91,Complete
CPHI,2025-04-15,10,4.70,Complete
STBX,2025-04-15,15,0.59,Complete
SCLX,2025-04-15,35,7.00,Complete
FRGE,2025-04-15,15,9.59,Complete
CMCT,2025-04-15,25,2.51,Complete
PIII,2025-04-14,50,1.32,Complete
WIMI,2025-04-14,20,10.85,Complete
MAAS,2025-04-14,60,1.14,Complete
HCWB,2025-04-11,40,3.72,Complete
BINI,2025-04-11,100,12.48,Complete
AMRN,2025-04-11,20,21.59,Complete
WBUY,2025-04-10,120,1.72,Complete
TPST,2025-04-09,13,5.61,Complete
QNRX,2025-04-09,35,0.59,Complete
VEEE,2025-04-08,10,1.98,Complete
LGCB,2025-04-07,10,9.38,Complete
NEGG,2025-04-07,20,0.96,Complete
SPPL,2025-04-07,8,2.20,Complete
TGL,2025-04-07,50,16.57,Complete
BGLC,2025-04-07,10,1.27,Complete
FTFT,2025-04-04,10,4.72,Complete
AEHL,2025-04-04,40,2.58,Complete
SOBR,2025-04-04,10,1.52,Complete
CISS,2025-04-04,6,2.65,Complete
MKTW,2025-04-03,20,2.25,Complete
VCIG,2025-04-03,20,8.83,Complete
WNW,2025-04-01,20,2.64,Complete
ICON,2025-04-01,40,2.23,Complete
AREB,2025-03-31,25,6.12,Complete
WTO,2025-03-31,10,1.94,Complete
AUUD,2025-03-31,17,3.09,Complete
NXU,2025-03-31,20,2.32,Complete
VMAR,2025-03-31,10,4.65,Complete
HUBC,2025-03-31,10,22.36,Complete
ACON,2025-03-28,27,0.67,Complete
SBEV,2025-03-28,40,2.49,Complete
WHLR,2025-03-26,5,0.69,Complete
LGHL,2025-03-26,50,0.50,Complete
XELB,2025-03-25,10,3.36,Complete
JAGX,2025-03-24,25,3.73,Complete
ZCAR,2025-03-24,20,6.68,Complete
SHFS,2025-03-24,20,1.78,Complete
UPC,2025-03-24,40,0.56,Complete
VRPX,2025-03-21,25,1.77,Complete
VIVS,2025-03-21,12,2.58,Complete
OM,2025-03-20,15,17.99,Complete
IVF,2025-03-18,12,1.89,Complete
HEPA,2025-03-18,50,11.62,Complete
WKSP,2025-03-18,10,7.93,Complete
ULY,2025-03-18,12,2.12,Complete
NWTG,2025-03-17,30,4.15,Complete
SAIH,2025-03-17,15,1.02,Complete
WKHS,2025-03-17,12.5,23.93,Complete
ADTX,2025-03-17,250,0.56,Complete
FAMI,2025-03-17,12,1.30,Complete
BHAT,2025-03-17,100,4.89,Complete
WLDS,2025-03-17,4,7.12,Complete
BNBX,2025-03-14,50,1.29,Complete
NAOV,2025-03-14,11,1.09,Complete
KUKE,2025-03-13,10,26.78,Complete
IPDN,2025-03-13,10,3.10,Complete
BLNE,2025-02-12,10,25.70,Complete
ABTS,2025-03-10,15,2.25,Complete
OMH,2025-03-10,10,21.92,Complete
ELAB,2025-03-10,7,0.74,Complete
MNDR,2025-03-10,8,1.16,Complete
RETO,2025-03-07,10,1.24,Complete
TIVC,2025-03-07,17,1.74,Complete
VERO,2025-03-04,11,1.74,Complete
STBX,2025-03-03,10,0.59,Complete
CLEU,2025-03-03,80,3.15,Complete
LICN,2025-03-03,200,0.71,Complete
EDBL,2025-03-03,25,5.13,Complete
APTO,2025-02-26,30,2.07,Complete
KPTI,2025-02-26,15,9.65,Complete
AEON,2025-02-26,72,11.12,Complete
LODE,2025-02-25,10,50.15,Complete
SXTC,2025-02-25,8,114.24,Complete
SOAR,2025-02-24,25,6.87,Complete
GRI,2025-02-24,17,3.27,Complete
HWH,2025-02-24,5,1.41,Complete
SXTP,2025-02-24,5,4.17,Complete
WINT,2025-02-21,50,33.71,Complete
SVRE,2025-02-21,13.33,2.18,Complete
CNSP,2025-02-21,50,0.62,Complete
HMR,2025-02-20,30,31.97,Complete
USBC,2025-02-19,40,29.67,Complete
MEGL,2025-02-18,4,2.41,Complete
CYN,2025-02-18,150,7.97,Complete
FEAM,2025-02-18,23,5.55,Complete
BOXL,2025-02-18,5,5.54,Complete
BINI,2025-02-18,60,12.48,Complete
OTLY,2025-02-18,20,14.23,Complete
HYFM,2025-02-13,10,3.75,Complete
TANH,2025-02-13,40,1.80,Complete
NIVF,2025-02-11,20,6.58,Complete
GSAT,2025-02-11,15,50.30,Complete
TCBP,2025-02-10,20,0.51,Complete
RIME,2025-02-10,200,2.70,Complete
BTAI,2025-02-10,16,21.33,Complete
XTKG,2025-02-10,6,97.26,Complete
TNXP,2025-02-05,100,11.78,Complete
GCTK,2025-02-04,20,0.91,Complete
HYPD,2025-02-03,80,8.08,Complete
ZKIN,2025-01-31,7,3.74,Complete
FCUV,2025-01-31,10,3.96,Complete
CRKN,2025-01-30,150,1.74,Complete
BLRX,2025-01-30,40,4.18,Complete
ACON,2025-01-30,335,0.67,Complete
BCTX,2025-01-29,15,1.87,Complete
ENVB,2025-01-29,15,0.59,Complete
INKT,2025-01-28,10,2.24,Complete
VINC,2025-01-28,20,4.83,Complete
WHLR,2025-01-28,4,0.69,Complete
REVB,2025-01-28,16,5.92,Complete
BNGO,2025-01-27,60,10.17,Complete
IVP,2025-01-27,25,3.76,Complete
GITS,2025-01-27,20,3.33,Complete
CDT,2025-01-27,100,1.60,Complete
HAO,2025-01-27,25,1.86,Complete
YI,2025-01-24,10,3.41,Complete
BQ,2025-01-21,10,3.41,Complete
KLRS,2025-01-16,23,3.14,Complete
MBIO,2025-01-16,50,7.23,Complete
SMX,2025-01-15,28.5,1.05,Complete
SVMH,2025-01-15,50,5.19,Complete
EVAX,2025-01-14,5,8.01,Complete
THCH,2025-01-13,5,9.58,Complete
XTIA,2025-01-10,250,32.77,Complete
CERO,2025-01-08,100,21.07,Complete
JXG,2025-01-08,4,1.01,Complete
RGF,2025-01-06,12,1.12,Complete
CMCT,2025-01-06,10,2.51,Complete
IDAI,2025-01-06,15,4.77,Complete
SEV,2025-01-05,75,9.40,Complete
ALUR,2025-01-03,25,6.95,Complete
ATCH,2025-01-02,60,128.17,Complete
ELBM,2025-01-02,4,17.77,Complete
CISS,2025-01-02,2.5,2.65,Complete
OST,2024-12-31,10,4.96,Complete
OPTN,2024-12-31,15,9.44,Complete
COEP,2024-12-31,20,5.08,Complete
CVLG,2024-12-31,0.5,14.60,Complete
DFDV,2024-12-30,8,25.65,Complete
TVRD,2024-12-30,12,3.91,Complete
CHAI,2024-12-27,10,3.10,Complete
GOEV,2024-12-24,20,14.24,Complete
CLEU,2024-12-24,15,3.15,Complete
NEUP,2024-12-24,12,5.37,Complete
ICCT,2024-12-23,20,4.68,Complete
MTC,2024-12-18,8,25.11,Complete
XXII,2024-12-17,135,6.99,Complete
MNTS,2024-12-13,14,24.04,Complete
DBGI,2024-12-13,50,6.33,Complete
MLGO,2024-12-13,20,3.44,Complete
BLUE,2024-12-13,20,9.71,Complete
JL,2024-12-10,10,1.65,Complete
HUIZ,2024-12-09,5,4.44,Complete
ENSC,2024-12-06,15,3.54,Complete
AVX,2024-12-05,100,3.61,Complete
APVO,2024-12-04,37,16.85,Complete
RNAZ,2024-12-04,33,0.92,Complete
DXF,2024-12-04,125,1.36,Complete
MYNZ,2024-12-03,40,9.43,Complete
FTCI,2024-12-02,10,11.92,Complete
DBVT,2024-11-29,5,33.42,Complete
SLXN,2024-11-29,9,3.09,Complete
ELAB,2024-11-27,200,0.74,Complete
UBXG,2024-11-27,16,23.04,Complete
CETX,2024-11-26,35,0.74,Complete
GMM,2024-11-26,15,25.00,Complete
CTXR,2024-11-26,25,20.01,Complete
GPUS,2024-11-25,35,342.48,Complete
APLM,2024-11-25,100,0.92,Complete
PBM,2024-11-25,75,1.86,Complete
DFLI,2024-11-22,9,122.65,Complete
XTKG,2024-11-22,20,97.26,Complete
NMHI,2024-11-21,30,22.81,Complete
PRFX,2024-11-21,4,3.90,Complete
LAZR,2024-11-21,15,68.83,Complete
LUXH,2024-11-20,70,4.01,Complete
JFBR,2024-11-20,13,0.66,Complete
SOS,2024-11-19,15,7.39,Complete
POLA,2024-11-19,7,1.85,Complete
WHLR,2024-11-19,2,0.69,Complete
LGMK,2024-11-19,25,0.91,Complete
BJDX,2024-11-18,50,4.06,Complete
UPC,2024-11-18,15,0.56,Complete
SGN,2024-11-18,48,3.96,Complete
MSPR,2024-11-18,25,13.47,Complete
TPET,2024-11-15,20,8.08,Complete
ZNB,2024-11-15,100,10.36,Complete
TKLF,2024-11-15,10,1.62,Complete
INM,2024-11-14,20,3.16,Complete
AKAN,2024-11-14,2,0.73,Complete
DNMR,2024-11-13,40,2.72,Complete
JTAI,2024-11-12,225,4.19,Complete
SISI,2024-11-12,24,0.45,Complete
EFSH,2024-11-11,15,6.35,Complete
EMPD,2024-11-11,8,36.42,Complete
FCEL,2024-11-11,30,32.23,Complete
TRNR,2024-11-11,100,2.39,Complete
LIPO,2024-11-08,8,4.40,Complete
XHG,2024-11-08,20,1.57,Complete
NDRA,2024-11-07,35,0.68,Complete
AQMS,2024-11-05,20,2.95,Complete
AIXC,2024-11-05,50,5.16,Complete
VCIG,2024-11-05,49,8.83,Complete
NA,2024-11-04,10,21.20,Complete
MAGN,2024-11-04,13,35.49,Complete
FGNX,2024-11-01,25,38.63,Complete
STBX,2024-10-31,16,0.59,Complete
KZR,2024-10-30,10,7.13,Complete
MOVE,2024-10-29,15,0.68,Complete
AHT,2024-10-28,10,6.30,Complete
KZIA,2024-10-28,10,1.83,Complete
SVRE,2024-10-28,18,2.18,Complete
ALBT,2024-10-28,15,3.87,Complete
AMIX,2024-10-25,25,6.53,Complete
KXIN,2024-10-25,60,28.35,Complete
NUKK,2024-10-24,8,14.26,Complete
CTNT,2024-10-24,16,1.99,Complete
DFSC,2024-10-23,10,1.42,Complete
ZCAR,2024-10-22,100,6.68,Complete
HURA,2024-10-18,35,30.02,Complete
BIOR,2024-10-18,10,2.96,Complete
SANW,2024-10-18,19,1.05,Complete
SDOT,2024-10-18,10,1.25,Complete
SONX,2024-10-18,200,0.41,Complete
SUNE,2024-10-17,50,3.41,Complete
DLPN,2024-10-16,2,11.84,Complete
MGRX,2024-10-16,15,11.91,Complete
ME,2024-10-16,20,17.66,Complete
STSS,2024-10-16,22,5.56,Complete
ILLR,2024-10-16,4,108.68,Complete
UAVS,2024-10-15,50,40.07,Complete
PIXY,2024-10-14,15,0.29,Complete
ALCE,2024-10-11,25,0.39,Complete
WLDS,2024-10-10,20,7.12,Complete
INHD,2024-10-10,10,12.11,Complete
SQNS,2024-10-09,2.5,15.44,Complete
HOLO,2024-10-09,20,14.57,Complete
XPON,2024-10-09,100,8.88,Complete
TONX,2024-10-09,200,57.31,Complete
DWTX,2024-10-09,25,2.29,Complete
MAXN,2024-10-09,100,6.73,Complete
VMAR,2024-10-08,9,4.65,Complete
AZ,2024-10-08,2.5,38.96,Complete
SGD,2024-10-08,20,5.25,Complete
RYM,2024-10-08,15,1.30,Complete
OKUR,2024-10-07,10,12.61,Complete
SIFY,2024-10-04,4,11.54,Complete
BDRX,2024-10-04,25,0.62,Complete
STRM,2024-10-04,15,3.37,Complete
LSB,2024-10-04,10,4.67,Complete
KRKR,2024-10-03,25,1.66,Complete
UPXI,2024-10-03,20,47.45,Complete
CETX,2024-10-03,60,0.74,Complete
ADTX,2024-10-02,40,0.56,Complete
AREB,2024-10-02,9,6.12,Complete
SOBR,2024-10-02,110,1.52,Complete
BCLI,2024-10-01,15,11.02,Complete
LXEH,2024-09-30,10,18.67,Complete
SONN,2024-09-30,8,6.74,Complete
CNET,2024-09-30,4,2.57,Complete
NCEL,2024-09-27,40,3.29,Complete
SEEL,2024-09-27,16,0.57,Complete
ARQQ,2024-09-25,25,8.26,Complete
ORGS,2024-09-25,25,5.71,Complete
FRGT,2024-09-25,25,5.90,Complete
BBGI,2024-09-24,20,0.72,Complete
EJH,2024-09-24,10,19.70,Complete
ONCO,2024-09-24,40,1.51,Complete
HIND,2024-09-23,58,4.60,Complete
OTRK,2024-09-23,15,8.95,Complete
CTEV,2024-09-23,40,9.71,Complete
EVTL,2024-09-23,10,55.27,Complete
TRAW,2024-09-23,25,6.95,Complete
WHLR,2024-09-20,3,0.69,Complete
MKFG,2024-09-19,10,13.60,Complete
CYBN,2024-09-19,38,49.21,Complete
BNZI,2024-09-19,50,5.21,Complete
GDHG,2024-09-19,50,2.53,Complete
PPBT,2024-09-17,20,8.75,Complete
NVVE,2024-09-17,10,44.60,Complete
IVDA,2024-09-17,8,5.74,Complete
LKCO,2024-09-17,8,6.71,Complete
BINI,2024-09-17,100,12.48,Complete
ZEPP,2024-09-16,4,4.26,Complete
KSCP,2024-09-16,50,11.31,Complete
ISPC,2024-09-16,20,9.77,Complete
YJ,2024-09-13,4,1.06,Complete
HYZN,2024-09-11,50,7.68,Complete
WTO,2024-09-11,25,1.94,Complete
ALLR,2024-09-11,30,15.81,Complete
BKSY,2024-09-09,8,27.68,Complete
PRFX,2024-09-09,6,3.90,Complete
LITB,2024-09-06,6,6.74,Complete
TNON,2024-09-06,8,8.51,Complete
BIRD,2024-09-05,20,5.58,Complete
DPRO,2024-09-05,25,28.83,Complete
TCS,2024-09-04,15,1.99,Complete
ORKA,2024-09-03,12,39.56,Complete
MTNB,2024-09-03,50,6.27,Complete
GLMD,2024-08-30,12,6.46,Complete
SNOA,2024-08-30,20,1.68,Complete
GLTO,2024-08-30,25,1.15,Complete
ATPC,2024-08-30,20,48.63,Complete
GDEV,2024-08-29,10,3.37,Complete
XCUR,2024-08-28,5,2.19,Complete
FBRX,2024-08-28,25,12.37,Complete
QMCO,2024-08-27,20,13.44,Complete
PHGE,2024-08-26,10,1.48,Complete
FMTO,2024-08-26,17,0.60,Complete
OBLG,2024-08-26,40,3.18,Complete
TOVX,2024-08-26,25,33.73,Complete
GWH,2024-08-26,15,12.61,Complete
AIXI,2024-08-23,9,10.71,Complete
VMAR,2024-08-22,15,4.65,Complete
SPCB,2024-08-22,20,4.64,Complete
DNA,2024-08-20,40,46.41,Complete
NDRA,2024-08-20,50,0.68,Complete
RDHL,2024-08-20,25,4.48,Complete
CVKD,2024-08-20,15,1.62,Complete
SRFM,2024-08-19,7,56.77,Complete
FFAI,2024-08-19,40,167.57,Complete
ALGS,2024-08-19,25,3.29,Complete
BETR,2024-08-19,50,4.18,Complete
GNS,2024-08-16,10,80.83,Complete
ORBS,2024-08-16,5,26.55,Complete
SING,2024-08-15,100,79.81,Complete
QNTM,2024-08-15,65,3.63,Complete
ATON,2024-08-15,20,2.55,Complete
ASTI,2024-08-15,100,3.48,Complete
SHPH,2024-08-13,8,0.92,Complete
TRVN,2024-08-13,25,0.86,Complete
AIFF,2024-08-13,3,10.18,Complete
SXTP,2024-08-12,12,4.17,Complete
MNPR,2024-08-12,5,4.98,Complete
CING,2024-08-09,12,6.75,Complete
VATE,2024-08-08,10,5.25,Complete
SBFM,2024-08-08,20,4.91,Complete
BIVI,2024-08-06,10,7.52,Complete
XYLO,2024-08-05,2.67,0.81,Complete
GNLN,2024-08-05,11,1.39,Complete
TCBP,2024-08-05,10,0.51,Complete
CHAI,2024-08-02,18,3.10,Complete
NCPL,2024-08-02,70,4.80,Complete
EVOK,2024-08-01,12,1.54,Complete
CCM,2024-07-30,10,1.39,Complete
NWTG,2024-07-30,10,4.15,Complete
AIU,2024-07-29,5,30.79,Complete
EVGN,2024-07-25,10,8.63,Complete
FOA,2024-07-25,10,5.20,Complete
NXXT,2024-07-25,2.5,29.32,Complete
SNES,2024-07-25,10,5.22,Complete
BURU,2024-07-24,40,433.24,Complete
KITT,2024-07-23,36,11.53,Complete
BHIL,2024-07-19,35,3.66,Complete
SCPX,2024-07-18,200,61.12,Complete
LUCY,2024-07-18,20,4.09,Complete
MGOL,2024-07-18,10,95.22,Complete
SNTI,2024-07-18,10,13.08,Complete
TCRT,2024-07-18,10,1.74,Complete
SONM,2024-07-18,10,0.84,Complete
ALZN,2024-07-16,10,3.62,Complete
VTAK,2024-07-15,10,1.65,Complete
CLDI,2024-07-15,10,7.03,Complete
SMX,2024-07-15,75,1.05,Complete
IMCC,2024-07-12,6,5.39,Complete
CLNN,2024-07-11,20,8.20,Complete
FRES,2024-07-10,10,3.48,Complete
AMWL,2024-07-10,20,12.45,Complete
IONM,2024-07-09,18,3.12,Complete
HOOK,2024-07-09,10,9.88,Complete
EFSH,2024-07-08,13,6.35,Complete
CJET,2024-07-08,30,10.92,Complete
CYN,2024-07-05,100,7.97,Complete
PHIO,2024-07-05,9,11.34,Complete
ASLN,2024-07-03,8,3.00,Complete
NUTX,2024-07-03,10,5.12,Complete
JZXN,2024-07-03,13,20.18,Complete
MDRR,2024-07-03,2,0.43,Complete
ASST,2024-07-02,5,877.38,Complete
KORE,2024-07-01,5,6.91,Complete
RELI,2024-07-01,17,9.78,Complete
DARE,2024-07-01,12,12.63,Complete
AZTR,2024-07-01,30,10.20,Complete
YGMZ,2024-07-01,8,12.75,Complete
WHLR,2024-06-28,5,0.69,Complete
NUWE,2024-06-28,35,1.66,Complete
YYAI,2024-06-27,20,18.74,Complete
RIGL,2024-06-27,10,17.76,Complete
OMIC,2024-06-26,30,1.55,Complete
STAF,2024-06-26,10,1.49,Complete
NKLA,2024-06-25,30,115.19,Complete
CRKN,2024-06-25,150,1.74,Complete
BGM,2024-06-21,5,5.26,Complete
TECX,2024-06-21,12,7.89,Complete
BJDX,2024-06-20,8,4.06,Complete
ATRA,2024-06-20,25,8.14,Complete
VSME,2024-06-18,7,48.13,Complete
FWDI,2024-06-18,10,94.07,Complete
GRI,2024-06-18,13,3.27,Complete
CATX,2024-06-17,10,61.93,Complete
SLRX,2024-06-17,8,5.42,Complete
STRR,2024-06-17,5,2.57,Complete
SPCE,2024-06-17,20,61.44,Complete
WKHS,2024-06-17,20,23.93,Complete
TWOU,2024-06-14,30,2.73,Complete
TRNR,2024-06-14,40,2.39,Complete
NAAS,2024-06-13,20,0.99,Complete
RBOT,2024-06-13,30,4.21,Complete
VELO,2024-06-13,35,8.55,Complete
SUNE,2024-06-12,15,3.41,Complete
BNED,2024-06-12,100,14.25,Complete
DM,2024-06-11,10,22.20,Complete
KPRX,2024-06-11,9,3.60,Complete
RTC,2024-06-10,10,14.76,Complete
ICU,2024-06-10,25,35.80,Complete
TNXP,2024-06-10,32,11.78,Complete
DBVT,2024-06-07,2,33.42,Complete
BNC,2024-06-07,12,42.56,Complete
SSKN,2024-06-07,10,4.18,Complete
EMPD,2024-06-07,100,36.42,Complete
SNGX,2024-06-06,16,10.54,Complete
CNSP,2024-06-05,50,0.62,Complete
PLAG,2024-06-03,10,7.89,Complete
LICY,2024-06-03,8,38.85,Complete
GWAV,2024-06-03,150,0.80,Complete
NBY,2024-05-31,35,6.01,Complete
BCDA,2024-05-30,15,9.82,Complete
GV,2024-05-29,15,3.58,Complete
SINT,2024-05-28,200,3.85,Complete
THAR,2024-05-24,15,7.39,Complete
JAGX,2024-05-23,60,3.73,Complete
AKAN,2024-05-23,40,0.73,Complete
SCNI,2024-05-21,10,3.47,Complete
